tiempo,x,y,vx,vy
5.33,266.5,20.55434550000001,50.0,-22.287300000000002
5.34,267.0,20.330981999999977,50.0,-22.385400000000004
5.3500000000000005,267.5,20.106637500000005,50.0,-22.483500000000006
5.36,268.0,19.88131199999998,50.0,-22.58160000000001
5.37,268.5,19.655005499999987,50.0,-22.679700000000004
5.38,269.0,19.427718,50.0,-22.7778
5.39,269.5,19.199449500000014,50.0,-22.8759
5.4,270.0,18.970199999999977,50.0,-22.974000000000004
5.41,270.5,18.7399695,50.0,-23.072100000000006
5.42,271.0,18.508757999999972,50.0,-23.1702
5.43,271.5,18.276565499999975,50.0,-23.268299999999996
5.44,272.0,18.043391999999983,50.0,-23.366400000000006
5.45,272.5,17.809237499999995,50.0,-23.4645
5.46,273.0,17.57410200000001,50.0,-23.562600000000003
5.47,273.5,17.337985500000002,50.0,-23.6607
5.48,274.0,17.10088799999997,50.0,-23.758800000000008
5.49,274.5,16.862809499999997,50.0,-23.856900000000003
5.5,275.0,16.62375,50.0,-23.955000000000005
5.51,275.5,16.38370949999998,50.0,-24.0531
5.5200000000000005,276.0,16.142687999999993,50.0,-24.15120000000001
5.53,276.5,15.90068549999998,50.0,-24.249300000000005
5.54,277.0,15.657701999999972,50.0,-24.3474
5.55,277.5,15.413737499999996,50.0,-24.445500000000003
5.5600000000000005,278.0,15.168791999999968,50.0,-24.543600000000005
5.57,278.5,14.9228655,50.0,-24.641700000000007
5.58,279.0,14.67595799999998,50.0,-24.739800000000002
5.59,279.5,14.428069499999992,50.0,-24.837900000000005
5.6000000000000005,280.0,14.17919999999998,50.0,-24.936000000000007
5.61,280.5,13.929349499999972,50.0,-25.03410000000001
5.62,281.0,13.678517999999968,50.0,-25.132200000000005
5.63,281.5,13.426705499999997,50.0,-25.2303
5.64,282.0,13.173912000000001,50.0,-25.328400000000002
5.65,282.5,12.920137499999981,50.0,-25.426500000000004
5.66,283.0,12.665381999999994,50.0,-25.524600000000007
5.67,283.5,12.40964550000001,50.0,-25.622700000000002
5.68,284.0,12.152927999999974,50.0,-25.720799999999997
5.69,284.5,11.8952295,50.0,-25.818900000000006
5.7,285.0,11.636549999999971,50.0,-25.917
5.71,285.5,11.376889500000004,50.0,-26.015100000000004
5.72,286.0,11.116248000000013,50.0,-26.1132
5.73,286.5,10.854625499999997,50.0,-26.21130000000001
5.74,287.0,10.592022000000014,50.0,-26.309400000000004
5.75,287.5,10.328437499999978,50.0,-26.407500000000006
5.76,288.0,10.063871999999975,50.0,-26.5056
5.7700000000000005,288.5,9.798325500000004,50.0,-26.60370000000001
5.78,289.0,9.531798000000009,50.0,-26.701800000000006
5.79,289.5,9.26428949999999,50.0,-26.7999
5.8,290.0,8.995800000000003,50.0,-26.898000000000003
5.8100000000000005,290.5,8.726329499999991,50.0,-26.996100000000006
5.82,291.0,8.455877999999984,50.0,-27.094200000000008
5.83,291.5,8.184445499999981,50.0,-27.192300000000003
5.84,292.0,7.912032000000011,50.0,-27.290399999999998
5.8500000000000005,292.5,7.638637500000016,50.0,-27.388500000000008
5.86,293.0,7.364261999999968,50.0,-27.486600000000003
5.87,293.5,7.088905499999953,50.0,-27.584700000000005
5.88,294.0,6.812567999999999,50.0,-27.6828
5.89,294.5,6.535249499999992,50.0,-27.780900000000003
5.9,295.0,6.256949999999989,50.0,-27.879000000000005
5.91,295.5,5.97766949999999,50.0,-27.977100000000007
5.92,296.0,5.697407999999996,50.0,-28.075200000000002
5.93,296.5,5.416165499999977,50.0,-28.173299999999998
5.94,297.0,5.133941999999962,50.0,-28.271400000000007
5.95,297.5,4.85073749999998,50.0,-28.369500000000002
5.96,298.0,4.5665520000000015,50.0,-28.467600000000004
5.97,298.5,4.281385499999999,50.0,-28.5657
5.98,299.0,3.995237999999972,50.0,-28.66380000000001
5.99,299.5,3.7081094999999777,50.0,-28.761900000000004
6.0,300.0,3.4199999999999875,50.0,-28.86
6.01,300.5,3.130909499999973,50.0,-28.9581
6.0200000000000005,301.0,2.8408379999999624,50.0,-29.056200000000004
6.03,301.5,2.5497854999999845,50.0,-29.154300000000006
6.04,302.0,2.257751999999982,50.0,-29.2524
6.05,302.5,1.964737499999984,50.0,-29.350500000000004
6.0600000000000005,303.0,1.67074199999999,50.0,-29.448600000000006
6.07,303.5,1.3757655,50.0,-29.54670000000001
6.08,304.0,1.0798079999999857,50.0,-29.644800000000004
